"FBS_max","interaction","name","PFC","selected","shared interaction","shared name"
"10.461","has functional association with","VAV1 (has functional association with) MAP4K1","0.972","false","has functional association with","VAV1 (has functional association with) MAP4K1"
"10.065","has functional association with","DDX41 (has functional association with) SF3A3","0.959","false","has functional association with","DDX41 (has functional association with) SF3A3"
"10.596","has functional association with","CAD (has functional association with) DIS3","0.976","false","has functional association with","CAD (has functional association with) DIS3"
"11.042","has functional association with","BRAF (has functional association with) YWHAZ","0.984","false","has functional association with","BRAF (has functional association with) YWHAZ"
"11.528","has functional association with","PABPC1 (has functional association with) SF3A3","0.99","false","has functional association with","PABPC1 (has functional association with) SF3A3"
"10.646","has functional association with","MTHFD1L (has functional association with) CAD","0.977","false","has functional association with","MTHFD1L (has functional association with) CAD"
"10.065","has functional association with","CHD8 (has functional association with) TAF1","0.959","false","has functional association with","CHD8 (has functional association with) TAF1"
"11.137","has functional association with","FRG1 (has functional association with) SF3A3","0.986","false","has functional association with","FRG1 (has functional association with) SF3A3"
"10.197","has functional association with","SYNGAP1 (has functional association with) PTK2B","0.964","false","has functional association with","SYNGAP1 (has functional association with) PTK2B"
"9.994","has functional association with","SRRM2 (has functional association with) CCNT1","0.956","false","has functional association with","SRRM2 (has functional association with) CCNT1"
"11.083","has functional association with","SRRM2 (has functional association with) BCLAF1","0.985","false","has functional association with","SRRM2 (has functional association with) BCLAF1"
"14.623","has functional association with","SRRM2 (has functional association with) SNRNP200","1.0","false","has functional association with","SRRM2 (has functional association with) SNRNP200"
"13.202","has functional association with","CHD8 (has functional association with) BRD4","0.998","false","has functional association with","CHD8 (has functional association with) BRD4"
"11.313","has functional association with","TBP (has functional association with) TAF1A","0.988","false","has functional association with","TBP (has functional association with) TAF1A"
"10.373","has functional association with","SRRM2 (has functional association with) DDX41","0.97","false","has functional association with","SRRM2 (has functional association with) DDX41"
"12.289","has functional association with","BRD4 (has functional association with) MLLT1","0.995","false","has functional association with","BRD4 (has functional association with) MLLT1"
"10.986","has functional association with","RGPD8 (has functional association with) NUP153","0.983","false","has functional association with","RGPD8 (has functional association with) NUP153"
"10.244","has functional association with","PABPC1 (has functional association with) BMS1","0.966","false","has functional association with","PABPC1 (has functional association with) BMS1"
"18.534","has functional association with","TBP (has functional association with) TAF1L","1.0","false","has functional association with","TBP (has functional association with) TAF1L"
"11.397","has functional association with","SRGAP2 (has functional association with) SYNGAP1","0.989","false","has functional association with","SRGAP2 (has functional association with) SYNGAP1"
"10.745","has functional association with","YWHAZ (has functional association with) NACA2","0.979","false","has functional association with","YWHAZ (has functional association with) NACA2"
"12.004","has functional association with","SRGAP2 (has functional association with) DENND1A","0.994","false","has functional association with","SRGAP2 (has functional association with) DENND1A"
"13.84","has functional association with","SRGAP2 (has functional association with) HERC2","0.999","false","has functional association with","SRGAP2 (has functional association with) HERC2"
"17.306","has functional association with","SRRM2 (has functional association with) PRPF8","1.0","false","has functional association with","SRRM2 (has functional association with) PRPF8"
"12.156","has functional association with","SRGAP2 (has functional association with) YWHAZ","0.995","false","has functional association with","SRGAP2 (has functional association with) YWHAZ"
"10.444","has functional association with","MTHFD1L (has functional association with) ITPR3","0.972","false","has functional association with","MTHFD1L (has functional association with) ITPR3"
"13.725","has functional association with","F8 (has functional association with) VWF","0.999","false","has functional association with","F8 (has functional association with) VWF"
"14.052","has functional association with","SRGAP2 (has functional association with) RPTOR","0.999","false","has functional association with","SRGAP2 (has functional association with) RPTOR"
"10.607","has functional association with","EZR (has functional association with) AHNAK","0.976","false","has functional association with","EZR (has functional association with) AHNAK"
"13.768","has functional association with","FUBP1 (has functional association with) U2AF2","0.999","false","has functional association with","FUBP1 (has functional association with) U2AF2"
"15.257","has functional association with","PABPC1 (has functional association with) WDR3","1.0","false","has functional association with","PABPC1 (has functional association with) WDR3"
"10.12","has functional association with","NUP153 (has functional association with) WDR3","0.961","false","has functional association with","NUP153 (has functional association with) WDR3"
"10.002","has functional association with","RAB7A (has functional association with) NRAS","0.957","false","has functional association with","RAB7A (has functional association with) NRAS"
"10.246","has functional association with","HLA-DQB2 (has functional association with) HLA-DQA2","0.966","false","has functional association with","HLA-DQB2 (has functional association with) HLA-DQA2"
"11.438","has functional association with","FUBP1 (has functional association with) WDR3","0.989","false","has functional association with","FUBP1 (has functional association with) WDR3"
"12.249","has functional association with","MYO5A (has functional association with) SPTAN1","0.995","false","has functional association with","MYO5A (has functional association with) SPTAN1"
"12.843","has functional association with","EZR (has functional association with) UBC","0.997","false","has functional association with","EZR (has functional association with) UBC"
"12.27","has functional association with","MYO5A (has functional association with) MYH14","0.995","false","has functional association with","MYO5A (has functional association with) MYH14"
"14.832","has functional association with","PABPC1 (has functional association with) GCN1","1.0","false","has functional association with","PABPC1 (has functional association with) GCN1"
"11.616","has functional association with","CAD (has functional association with) PRPF8","0.991","false","has functional association with","CAD (has functional association with) PRPF8"
"14.684","has functional association with","KMT2D (has functional association with) KMT2C","1.0","false","has functional association with","KMT2D (has functional association with) KMT2C"
"13.254","has functional association with","RAB7A (has functional association with) SLC25A5","0.998","false","has functional association with","RAB7A (has functional association with) SLC25A5"
"10.648","has functional association with","ATN1 (has functional association with) PRRC2A","0.977","false","has functional association with","ATN1 (has functional association with) PRRC2A"
"12.242","has functional association with","PABPC1 (has functional association with) PABPC3","0.995","false","has functional association with","PABPC1 (has functional association with) PABPC3"
"16.158","has functional association with","RAB7A (has functional association with) HSP90AB1","1.0","false","has functional association with","RAB7A (has functional association with) HSP90AB1"
"11.962","has functional association with","MYO5A (has functional association with) MYH11","0.994","false","has functional association with","MYO5A (has functional association with) MYH11"
"14.523","has functional association with","MYO5A (has functional association with) DYNC1H1","1.0","false","has functional association with","MYO5A (has functional association with) DYNC1H1"
"10.046","has functional association with","PABPC1 (has functional association with) ACTR3B","0.958","false","has functional association with","PABPC1 (has functional association with) ACTR3B"
"13.21","has functional association with","PTK2B (has functional association with) HSP90AB1","0.998","false","has functional association with","PTK2B (has functional association with) HSP90AB1"
"11.967","has functional association with","CAD (has functional association with) RPTOR","0.994","false","has functional association with","CAD (has functional association with) RPTOR"
"10.189","has functional association with","MYO5A (has functional association with) PTK2B","0.964","false","has functional association with","MYO5A (has functional association with) PTK2B"
"10.479","has functional association with","MYO5A (has functional association with) ATP6V1A","0.973","false","has functional association with","MYO5A (has functional association with) ATP6V1A"
"11.188","has functional association with","EZR (has functional association with) SLC25A5","0.986","false","has functional association with","EZR (has functional association with) SLC25A5"
"12.625","has functional association with","EZR (has functional association with) HSP90AB1","0.997","false","has functional association with","EZR (has functional association with) HSP90AB1"
"12.958","has functional association with","ANAPC1 (has functional association with) SMC4","0.998","false","has functional association with","ANAPC1 (has functional association with) SMC4"
"11.506","has functional association with","MYO5A (has functional association with) VPS13A","0.99","false","has functional association with","MYO5A (has functional association with) VPS13A"
"12.3","has functional association with","TUBB8 (has functional association with) DYNC1H1","0.995","false","has functional association with","TUBB8 (has functional association with) DYNC1H1"
"11.757","has functional association with","MYO5A (has functional association with) RPTOR","0.992","false","has functional association with","MYO5A (has functional association with) RPTOR"
"10.861","has functional association with","MYH14 (has functional association with) DYNC1H1","0.981","false","has functional association with","MYH14 (has functional association with) DYNC1H1"
"10.756","has functional association with","SDHA (has functional association with) COX10","0.979","false","has functional association with","SDHA (has functional association with) COX10"
"10.814","has functional association with","SDHA (has functional association with) LDHB","0.98","false","has functional association with","SDHA (has functional association with) LDHB"
"18.567","has functional association with","CAD (has functional association with) HSP90AB1","1.0","false","has functional association with","CAD (has functional association with) HSP90AB1"
"10.022","has functional association with","ANAPC1 (has functional association with) NOTCH1","0.957","false","has functional association with","ANAPC1 (has functional association with) NOTCH1"
"11.035","has functional association with","MYO5A (has functional association with) MYH6","0.984","false","has functional association with","MYO5A (has functional association with) MYH6"
"12.089","has functional association with","SDHA (has functional association with) NNT","0.994","false","has functional association with","SDHA (has functional association with) NNT"
"11.997","has functional association with","MYO5A (has functional association with) HSP90AB1","0.994","false","has functional association with","MYO5A (has functional association with) HSP90AB1"
"14.407","has functional association with","RAB7A (has functional association with) STT3B","0.999","false","has functional association with","RAB7A (has functional association with) STT3B"
"13.854","has functional association with","BIRC6 (has functional association with) HERC2","0.999","false","has functional association with","BIRC6 (has functional association with) HERC2"
"11.174","has functional association with","WDR3 (has functional association with) GCN1","0.986","false","has functional association with","WDR3 (has functional association with) GCN1"
"11.314","has functional association with","RAB7A (has functional association with) RAB21","0.988","false","has functional association with","RAB7A (has functional association with) RAB21"
"11.146","has functional association with","SDHA (has functional association with) YWHAZ","0.986","false","has functional association with","SDHA (has functional association with) YWHAZ"
"9.904","has functional association with","RPL10 (has functional association with) AP2M1","0.952","false","has functional association with","RPL10 (has functional association with) AP2M1"
"11.736","has functional association with","BIRC6 (has functional association with) DCAF12","0.992","false","has functional association with","BIRC6 (has functional association with) DCAF12"
"12.653","has functional association with","RPL10 (has functional association with) LARS1","0.997","false","has functional association with","RPL10 (has functional association with) LARS1"
"13.118","has functional association with","WDR3 (has functional association with) PABPC3","0.998","false","has functional association with","WDR3 (has functional association with) PABPC3"
"10.697","has functional association with","SDHA (has functional association with) BPHL","0.978","false","has functional association with","SDHA (has functional association with) BPHL"
"17.668","has functional association with","TUBB8 (has functional association with) TUBA3C","1.0","false","has functional association with","TUBB8 (has functional association with) TUBA3C"
"11.33","has functional association with","CAD (has functional association with) BMS1","0.988","false","has functional association with","CAD (has functional association with) BMS1"
"10.327","has functional association with","SNRNP200 (has functional association with) TOP2B","0.968","false","has functional association with","SNRNP200 (has functional association with) TOP2B"
"11.105","has functional association with","FRY (has functional association with) TRRAP","0.985","false","has functional association with","FRY (has functional association with) TRRAP"
"12.035","has functional association with","CAD (has functional association with) GCN1","0.994","false","has functional association with","CAD (has functional association with) GCN1"
"9.983","has functional association with","EPC1 (has functional association with) BRD4","0.956","false","has functional association with","EPC1 (has functional association with) BRD4"
"12.635","has functional association with","SNRNP200 (has functional association with) DIS3","0.997","false","has functional association with","SNRNP200 (has functional association with) DIS3"
"10.408","has functional association with","CAD (has functional association with) WDR3","0.971","false","has functional association with","CAD (has functional association with) WDR3"
"11.778","has functional association with","FRY (has functional association with) PRPF8","0.992","false","has functional association with","FRY (has functional association with) PRPF8"
"26.328","has functional association with","SNRNP200 (has functional association with) PRPF8","1.0","false","has functional association with","SNRNP200 (has functional association with) PRPF8"
"10.151","has functional association with","RPL10 (has functional association with) DYNC1H1","0.962","false","has functional association with","RPL10 (has functional association with) DYNC1H1"
"10.829","has functional association with","FANCD2 (has functional association with) SF3A2","0.981","false","has functional association with","FANCD2 (has functional association with) SF3A2"
"12.804","has functional association with","SNRNP200 (has functional association with) U2AF2","0.997","false","has functional association with","SNRNP200 (has functional association with) U2AF2"
"12.866","has functional association with","SNRNP200 (has functional association with) RPTOR","0.997","false","has functional association with","SNRNP200 (has functional association with) RPTOR"
"11.426","has functional association with","GRK6 (has functional association with) HSP90AB1","0.989","false","has functional association with","GRK6 (has functional association with) HSP90AB1"
"10.854","has functional association with","FANCD2 (has functional association with) SF3A3","0.981","false","has functional association with","FANCD2 (has functional association with) SF3A3"
"11.729","has functional association with","VCL (has functional association with) BIRC6","0.992","false","has functional association with","VCL (has functional association with) BIRC6"
"13.646","has functional association with","VCL (has functional association with) YWHAZ","0.999","false","has functional association with","VCL (has functional association with) YWHAZ"
"10.241","has functional association with","CKAP5 (has functional association with) HERC1","0.966","false","has functional association with","CKAP5 (has functional association with) HERC1"
"9.967","has functional association with","SNRNP200 (has functional association with) HSP90AB1","0.955","false","has functional association with","SNRNP200 (has functional association with) HSP90AB1"
"10.396","has functional association with","NNT (has functional association with) SLC25A5","0.97","false","has functional association with","NNT (has functional association with) SLC25A5"
"9.987","has functional association with","BPTF (has functional association with) TRRAP","0.956","false","has functional association with","BPTF (has functional association with) TRRAP"
"21.951","has functional association with","SNRNP200 (has functional association with) SF3A3","1.0","false","has functional association with","SNRNP200 (has functional association with) SF3A3"
"10.602","has functional association with","SNRNP200 (has functional association with) BMS1","0.976","false","has functional association with","SNRNP200 (has functional association with) BMS1"
"13.111","has functional association with","MAX (has functional association with) EPC1","0.998","false","has functional association with","MAX (has functional association with) EPC1"
"11.571","has functional association with","SNRNP200 (has functional association with) GCN1","0.991","false","has functional association with","SNRNP200 (has functional association with) GCN1"
"10.456","has functional association with","C4B (has functional association with) C3","0.972","false","has functional association with","C4B (has functional association with) C3"
"11.988","has functional association with","SNRNP200 (has functional association with) PABPC3","0.994","false","has functional association with","SNRNP200 (has functional association with) PABPC3"
"11.467","has functional association with","MYH11 (has functional association with) DYNC1H1","0.99","false","has functional association with","MYH11 (has functional association with) DYNC1H1"
"10.46","has functional association with","TOP2B (has functional association with) CAD","0.972","false","has functional association with","TOP2B (has functional association with) CAD"
"12.832","has functional association with","RYR3 (has functional association with) RYR2","0.997","false","has functional association with","RYR3 (has functional association with) RYR2"
"10.031","has functional association with","TOP2B (has functional association with) FANCD2","0.958","false","has functional association with","TOP2B (has functional association with) FANCD2"
"14.646","has functional association with","MAX (has functional association with) TAF1","1.0","false","has functional association with","MAX (has functional association with) TAF1"
"11.238","has functional association with","TOP2B (has functional association with) PRPF8","0.987","false","has functional association with","TOP2B (has functional association with) PRPF8"
"14.529","has functional association with","SERPINA1 (has functional association with) C3","1.0","false","has functional association with","SERPINA1 (has functional association with) C3"
"15.884","has functional association with","SDHA (has functional association with) SLC25A5","1.0","false","has functional association with","SDHA (has functional association with) SLC25A5"
"13.183","has functional association with","MYH6 (has functional association with) MYH7","0.998","false","has functional association with","MYH6 (has functional association with) MYH7"
"10.568","has functional association with","FLNA (has functional association with) PABPC1","0.975","false","has functional association with","FLNA (has functional association with) PABPC1"
"10.259","has functional association with","FLNA (has functional association with) ILK","0.966","false","has functional association with","FLNA (has functional association with) ILK"
"12.352","has functional association with","FLNA (has functional association with) VCL","0.996","false","has functional association with","FLNA (has functional association with) VCL"
"12.831","has functional association with","SDHA (has functional association with) HSP90AB1","0.997","false","has functional association with","SDHA (has functional association with) HSP90AB1"
"11.566","has functional association with","FLNA (has functional association with) APC","0.991","false","has functional association with","FLNA (has functional association with) APC"
"10.598","has functional association with","FLNA (has functional association with) TTN","0.976","false","has functional association with","FLNA (has functional association with) TTN"
"12.03","has functional association with","FLNA (has functional association with) SPTAN1","0.994","false","has functional association with","FLNA (has functional association with) SPTAN1"
"12.427","has functional association with","HLA-DQA1 (has functional association with) HLA-DRB5","0.996","false","has functional association with","HLA-DQA1 (has functional association with) HLA-DRB5"
"11.063","has functional association with","FLNA (has functional association with) MYH11","0.985","false","has functional association with","FLNA (has functional association with) MYH11"
"10.16","has functional association with","FLNA (has functional association with) DYNC1H1","0.963","false","has functional association with","FLNA (has functional association with) DYNC1H1"
"10.16","has functional association with","TOP2B (has functional association with) HSP90AB1","0.963","false","has functional association with","TOP2B (has functional association with) HSP90AB1"
"11.679","has functional association with","PLEC (has functional association with) MYO1C","0.992","false","has functional association with","PLEC (has functional association with) MYO1C"
"13.711","has functional association with","PLEC (has functional association with) AHNAK","0.999","false","has functional association with","PLEC (has functional association with) AHNAK"
"16.989","has functional association with","FLNA (has functional association with) YWHAZ","1.0","false","has functional association with","FLNA (has functional association with) YWHAZ"
"10.601","has functional association with","ABCA1 (has functional association with) PRPF8","0.976","false","has functional association with","ABCA1 (has functional association with) PRPF8"
"11.122","has functional association with","NELFE (has functional association with) HSP90AB1","0.985","false","has functional association with","NELFE (has functional association with) HSP90AB1"
"10.687","has functional association with","LARS1 (has functional association with) DYNC1H1","0.978","false","has functional association with","LARS1 (has functional association with) DYNC1H1"
"11.591","has functional association with","FLNA (has functional association with) EZR","0.991","false","has functional association with","FLNA (has functional association with) EZR"
"9.929","has functional association with","FLNC (has functional association with) PGM5","0.954","false","has functional association with","FLNC (has functional association with) PGM5"
"14.682","has functional association with","RPL10 (has functional association with) TOP2B","1.0","false","has functional association with","RPL10 (has functional association with) TOP2B"
"11.06","has functional association with","RBM23 (has functional association with) DIS3","0.985","false","has functional association with","RBM23 (has functional association with) DIS3"
"12.066","has functional association with","APC (has functional association with) DYNC1H1","0.994","false","has functional association with","APC (has functional association with) DYNC1H1"
"12.981","has functional association with","DYNC1H1 (has functional association with) YWHAZ","0.998","false","has functional association with","DYNC1H1 (has functional association with) YWHAZ"
"15.354","has functional association with","APC (has functional association with) CKAP5","1.0","false","has functional association with","APC (has functional association with) CKAP5"
"10.838","has functional association with","RPL10 (has functional association with) UBC","0.981","false","has functional association with","RPL10 (has functional association with) UBC"
"10.068","has functional association with","WDR89 (has functional association with) WDR3","0.959","false","has functional association with","WDR89 (has functional association with) WDR3"
"10.81","has functional association with","APC (has functional association with) TAF1","0.98","false","has functional association with","APC (has functional association with) TAF1"
"11.941","has functional association with","HLA-DQA2 (has functional association with) HLA-DRB5","0.994","false","has functional association with","HLA-DQA2 (has functional association with) HLA-DRB5"
"10.917","has functional association with","TOP2B (has functional association with) BMS1","0.982","false","has functional association with","TOP2B (has functional association with) BMS1"
"10.167","has functional association with","RPL10 (has functional association with) CAD","0.963","false","has functional association with","RPL10 (has functional association with) CAD"
"11.984","has functional association with","KMT2C (has functional association with) TNRC6A","0.994","false","has functional association with","KMT2C (has functional association with) TNRC6A"
"11.295","has functional association with","LARS1 (has functional association with) YWHAZ","0.988","false","has functional association with","LARS1 (has functional association with) YWHAZ"
"9.899","has functional association with","FLNA (has functional association with) PGM5","0.952","false","has functional association with","FLNA (has functional association with) PGM5"
"10.273","has functional association with","ATP6V1A (has functional association with) CAD","0.967","false","has functional association with","ATP6V1A (has functional association with) CAD"
"12.988","has functional association with","FASN (has functional association with) RAB7A","0.998","false","has functional association with","FASN (has functional association with) RAB7A"
"16.201","has functional association with","U2AF2 (has functional association with) SF3A2","1.0","false","has functional association with","U2AF2 (has functional association with) SF3A2"
"9.9","has functional association with","HSP90AB1 (has functional association with) SF3A3","0.952","false","has functional association with","HSP90AB1 (has functional association with) SF3A3"
"10.904","has functional association with","DYNC1H1 (has functional association with) EZR","0.982","false","has functional association with","DYNC1H1 (has functional association with) EZR"
"13.316","has functional association with","UBR4 (has functional association with) TRRAP","0.998","false","has functional association with","UBR4 (has functional association with) TRRAP"
"13.032","has functional association with","TOP2B (has functional association with) GCN1","0.998","false","has functional association with","TOP2B (has functional association with) GCN1"
"10.715","has functional association with","U2AF2 (has functional association with) HSP90AB1","0.978","false","has functional association with","U2AF2 (has functional association with) HSP90AB1"
"11.077","has functional association with","INPP5D (has functional association with) MAP4K1","0.985","false","has functional association with","INPP5D (has functional association with) MAP4K1"
"13.375","has functional association with","FASN (has functional association with) CAD","0.998","false","has functional association with","FASN (has functional association with) CAD"
"11.633","has functional association with","ATP6V1A (has functional association with) PRPF8","0.991","false","has functional association with","ATP6V1A (has functional association with) PRPF8"
"16.856","has functional association with","DYNC1H1 (has functional association with) CKAP5","1.0","false","has functional association with","DYNC1H1 (has functional association with) CKAP5"
"15.717","has functional association with","U2AF2 (has functional association with) SF3A3","1.0","false","has functional association with","U2AF2 (has functional association with) SF3A3"
"16.74","has functional association with","ATP6V1A (has functional association with) RPTOR","1.0","false","has functional association with","ATP6V1A (has functional association with) RPTOR"
"10.589","has functional association with","LARS1 (has functional association with) ATP6V1A","0.975","false","has functional association with","LARS1 (has functional association with) ATP6V1A"
"10.851","has functional association with","RPL10 (has functional association with) PRPF8","0.981","false","has functional association with","RPL10 (has functional association with) PRPF8"
"10.186","has functional association with","NOTCH1 (has functional association with) WDR11","0.964","false","has functional association with","NOTCH1 (has functional association with) WDR11"
"13.895","has functional association with","FASN (has functional association with) SLC25A5","0.999","false","has functional association with","FASN (has functional association with) SLC25A5"
"10.382","has functional association with","DYNC1H1 (has functional association with) CAD","0.97","false","has functional association with","DYNC1H1 (has functional association with) CAD"
"12.778","has functional association with","HSP90AB1 (has functional association with) PGM5","0.997","false","has functional association with","HSP90AB1 (has functional association with) PGM5"
"11.721","has functional association with","ATP6V1A (has functional association with) HSP90AB1","0.992","false","has functional association with","ATP6V1A (has functional association with) HSP90AB1"
"12.945","has functional association with","LDHB (has functional association with) YWHAZ","0.998","false","has functional association with","LDHB (has functional association with) YWHAZ"
"14.547","has functional association with","ACVR1B (has functional association with) HSP90AB1","1.0","false","has functional association with","ACVR1B (has functional association with) HSP90AB1"
"12.204","has functional association with","LARS1 (has functional association with) SMC4","0.995","false","has functional association with","LARS1 (has functional association with) SMC4"
"11.906","has functional association with","TP53 (has functional association with) KMT2E","0.993","false","has functional association with","TP53 (has functional association with) KMT2E"
"10.102","has functional association with","NCOR1 (has functional association with) SF3A3","0.961","false","has functional association with","NCOR1 (has functional association with) SF3A3"
"12.149","has functional association with","FASN (has functional association with) GCN1","0.995","false","has functional association with","FASN (has functional association with) GCN1"
"9.981","has functional association with","FASN (has functional association with) WDR3","0.956","false","has functional association with","FASN (has functional association with) WDR3"
"14.749","has functional association with","ATP6V1A (has functional association with) PGM5","1.0","false","has functional association with","ATP6V1A (has functional association with) PGM5"
"11.796","has functional association with","NF1 (has functional association with) RPTOR","0.993","false","has functional association with","NF1 (has functional association with) RPTOR"
"12.216","has functional association with","TP53 (has functional association with) RB1","0.995","false","has functional association with","TP53 (has functional association with) RB1"
"14.154","has functional association with","HSP90AB1 (has functional association with) USP9X","0.999","false","has functional association with","HSP90AB1 (has functional association with) USP9X"
"9.874","has functional association with","LDHB (has functional association with) UBC","0.951","false","has functional association with","LDHB (has functional association with) UBC"
"16.258","has functional association with","PABPC1 (has functional association with) RPL10","1.0","false","has functional association with","PABPC1 (has functional association with) RPL10"
"11.71","has functional association with","TP53 (has functional association with) HADHB","0.992","false","has functional association with","TP53 (has functional association with) HADHB"
"10.518","has functional association with","TP53 (has functional association with) TDG","0.974","false","has functional association with","TP53 (has functional association with) TDG"
"19.795","has functional association with","HLA-B (has functional association with) HLA-C","1.0","false","has functional association with","HLA-B (has functional association with) HLA-C"
"12.052","has functional association with","HLA-B (has functional association with) HLA-A","0.994","false","has functional association with","HLA-B (has functional association with) HLA-A"
"14.815","has functional association with","DOCK8 (has functional association with) PTK2B","1.0","false","has functional association with","DOCK8 (has functional association with) PTK2B"
"10.199","has functional association with","HSP90AB1 (has functional association with) PABPC3","0.964","false","has functional association with","HSP90AB1 (has functional association with) PABPC3"
"12.146","has functional association with","PABPC1 (has functional association with) LARS1","0.995","false","has functional association with","PABPC1 (has functional association with) LARS1"
"10.222","has functional association with","PABPC1 (has functional association with) MYO5A","0.965","false","has functional association with","PABPC1 (has functional association with) MYO5A"
"11.025","has functional association with","HLA-B (has functional association with) HLA-DQA1","0.984","false","has functional association with","HLA-B (has functional association with) HLA-DQA1"
"9.978","has functional association with","DOCK8 (has functional association with) NRAS","0.956","false","has functional association with","DOCK8 (has functional association with) NRAS"
"9.976","has functional association with","DYNC1H1 (has functional association with) SLC25A5","0.956","false","has functional association with","DYNC1H1 (has functional association with) SLC25A5"
"12.044","has functional association with","TP53 (has functional association with) SETD1A","0.994","false","has functional association with","TP53 (has functional association with) SETD1A"
"17.879","has functional association with","RPL10 (has functional association with) SLC25A5","1.0","false","has functional association with","RPL10 (has functional association with) SLC25A5"
"11.706","has functional association with","DYNC1H1 (has functional association with) HSP90AB1","0.992","false","has functional association with","DYNC1H1 (has functional association with) HSP90AB1"
"11.392","has functional association with","HLA-B (has functional association with) HLA-DQA2","0.989","false","has functional association with","HLA-B (has functional association with) HLA-DQA2"
"15.027","has functional association with","RPL10 (has functional association with) HSP90AB1","1.0","false","has functional association with","RPL10 (has functional association with) HSP90AB1"
"11.448","has functional association with","UBC (has functional association with) SLC2A3","0.989","false","has functional association with","UBC (has functional association with) SLC2A3"
"11.681","has functional association with","HLA-B (has functional association with) HLA-DRB5","0.992","false","has functional association with","HLA-B (has functional association with) HLA-DRB5"
"11.398","has functional association with","LARS1 (has functional association with) CAD","0.989","false","has functional association with","LARS1 (has functional association with) CAD"
"10.833","has functional association with","LDHB (has functional association with) SLC25A5","0.981","false","has functional association with","LDHB (has functional association with) SLC25A5"
"10.942","has functional association with","PRIM2 (has functional association with) TBP","0.983","false","has functional association with","PRIM2 (has functional association with) TBP"
"12.243","has functional association with","LDHB (has functional association with) HSP90AB1","0.995","false","has functional association with","LDHB (has functional association with) HSP90AB1"
